State,Year,Quarter,Brand,Transaction_count,Percentage
Andaman And Nicobar Islands,2018,3,Apple,371,0.030537492797761003
Andaman And Nicobar Islands,2018,3,Huawei,314,0.025845748621285
Andaman And Nicobar Islands,2018,3,Lenovo,299,0.02461107910116
Andaman And Nicobar Islands,2018,3,Others,1145,0.094246440036216
Andaman And Nicobar Islands,2018,4,Xiaomi,3719,0.244317435291026
Andaman And Nicobar Islands,2018,4,Samsung,2936,0.19287872815661503
Andaman And Nicobar Islands,2018,4,Vivo,2742,0.180134016554986
Andaman And Nicobar Islands,2018,4,Oppo,1268,0.08330048613848301
Andaman And Nicobar Islands,2018,4,Realme,760,0.049927736171330006
Andaman And Nicobar Islands,2018,4,OnePlus,721,0.047365654973065004
Andaman And Nicobar Islands,2018,4,Motorola,474,0.031139140717382004
Andaman And Nicobar Islands,2018,4,Apple,455,0.029890947313099003
Andaman And Nicobar Islands,2018,4,Huawei,398,0.026146367100249004
Andaman And Nicobar Islands,2018,4,Lenovo,377,0.024766784916568002
Andaman And Nicobar Islands,2018,4,Others,1372,0.090132702667192
Andaman And Nicobar Islands,2019,1,Xiaomi,4576,0.24607442460744203
Andaman And Nicobar Islands,2019,1,Samsung,3567,0.191815444181544
Andaman And Nicobar Islands,2019,1,Vivo,3420,0.18391051839105102
Andaman And Nicobar Islands,2019,1,Oppo,1600,0.086040008604
Andaman And Nicobar Islands,2019,1,Realme,897,0.048236179823617005
Andaman And Nicobar Islands,2019,1,OnePlus,855,0.045977629597762006
Andaman And Nicobar Islands,2019,1,Motorola,561,0.030167778016777003
Andaman And Nicobar Islands,2019,1,Apple,515,0.027694127769412002
Andaman And Nicobar Islands,2019,1,Huawei,515,0.027694127769412002
Andaman And Nicobar Islands,2019,1,Lenovo,426,0.022908152290815
Andaman And Nicobar Islands,2019,1,Others,1664,0.08948160894816001
Andaman And Nicobar Islands,2019,2,Xiaomi,5296,0.24370714647278002
Andaman And Nicobar Islands,2019,2,Samsung,4165,0.19166168146886903
Andaman And Nicobar Islands,2019,2,Vivo,4102,0.18876259721135702
Andaman And Nicobar Islands,2019,2,Oppo,1905,0.087662785881919
Andaman And Nicobar Islands,2019,2,Realme,1012,0.04656941696194301
Andaman And Nicobar Islands,2019,2,OnePlus,950,0.043716349914868
Andaman And Nicobar Islands,2019,2,Huawei,644,0.029635083521236002
Andaman And Nicobar Islands,2019,2,Motorola,630,0.028990842575123
Andaman And Nicobar Islands,2019,2,Apple,569,0.026183792738484
Andaman And Nicobar Islands,2019,2,Lenovo,477,0.021950209378307002
Andaman And Nicobar Islands,2019,2,Others,1981,0.09116009387510901
Andaman And Nicobar Islands,2019,3,Xiaomi,5819,0.24315741088964102
Andaman And Nicobar Islands,2019,3,Vivo,4685,0.19577117546278802
Andaman And Nicobar Islands,2019,3,Samsung,4508,0.188374911203042
Andaman And Nicobar Islands,2019,3,Oppo,2108,0.088086582257323
